W	X	Y	Z	D	stderr	Zscore	BABA	ABBA	nsnps	timescale	parameters	stat	ds	select	rep
Afr	admix	Vindija	outgroup	-0.1147	0.005309	-21.595	531563	669216	37226324	medium	pseudohaploid	dstat	full	all	NA
Afr	AMH1	Vindija	outgroup	8e-04	0.001552	0.49	557998	557150	37226324	medium	pseudohaploid	dstat	full	all	NA
Afr	admix	Vindija	outgroup	-0.1148	0.006912	-16.608	14162	17835	995597	medium	pseudohaploid	dstat	1000000	all	0
Afr	AMH1	Vindija	outgroup	0.0017	0.004478	0.381	14842	14791	995597	medium	pseudohaploid	dstat	1000000	all	0
Afr	admix	Vindija	outgroup	-0.1153	0.006803	-16.948	14212	17916	995818	medium	pseudohaploid	dstat	1000000	all	1
Afr	AMH1	Vindija	outgroup	0.0031	0.004325	0.725	14959	14866	995818	medium	pseudohaploid	dstat	1000000	all	1
Afr	admix	Vindija	outgroup	-0.117	0.00639	-18.317	14190	17951	995643	medium	pseudohaploid	dstat	1000000	all	2
Afr	AMH1	Vindija	outgroup	0.0033	0.004255	0.774	14953	14855	995643	medium	pseudohaploid	dstat	1000000	all	2
Afr	admix	Vindija	outgroup	-0.115	0.006864	-16.759	14181	17867	995544	medium	pseudohaploid	dstat	1000000	all	3
Afr	AMH1	Vindija	outgroup	-0.0012	0.004557	-0.256	14836	14871	995544	medium	pseudohaploid	dstat	1000000	all	3
Afr	admix	Vindija	outgroup	-0.1156	0.006695	-17.271	14243	17967	995503	medium	pseudohaploid	dstat	1000000	all	4
Afr	AMH1	Vindija	outgroup	0.0019	0.00434	0.437	15083	15026	995503	medium	pseudohaploid	dstat	1000000	all	4
Afr	admix	Vindija	outgroup	-0.1185	0.006777	-17.489	14173	17984	995545	medium	pseudohaploid	dstat	1000000	all	5
Afr	AMH1	Vindija	outgroup	0.0012	0.004575	0.255	14926	14891	995545	medium	pseudohaploid	dstat	1000000	all	5
Afr	admix	Vindija	outgroup	-0.1169	0.006986	-16.737	14182	17938	995563	medium	pseudohaploid	dstat	1000000	all	6
Afr	AMH1	Vindija	outgroup	-3e-04	0.004625	-0.063	14852	14861	995563	medium	pseudohaploid	dstat	1000000	all	6
Afr	admix	Vindija	outgroup	-0.111	0.006883	-16.119	14190	17731	995583	medium	pseudohaploid	dstat	1000000	all	7
Afr	AMH1	Vindija	outgroup	-0.0016	0.00426	-0.369	14818	14864	995583	medium	pseudohaploid	dstat	1000000	all	7
Afr	admix	Vindija	outgroup	-0.1129	0.006627	-17.042	14223	17843	995598	medium	pseudohaploid	dstat	1000000	all	8
Afr	AMH1	Vindija	outgroup	0.0018	0.004493	0.404	14935	14881	995598	medium	pseudohaploid	dstat	1000000	all	8
Afr	admix	Vindija	outgroup	-0.1186	0.006967	-17.017	14090	17880	995629	medium	pseudohaploid	dstat	1000000	all	9
Afr	AMH1	Vindija	outgroup	-0.002	0.004611	-0.428	14837	14896	995629	medium	pseudohaploid	dstat	1000000	all	9
Afr	admix	Vindija	outgroup	-0.1158	0.006902	-16.772	14155	17861	995570	medium	pseudohaploid	dstat	1000000	all	10
Afr	AMH1	Vindija	outgroup	-0.0021	0.004185	-0.508	14840	14903	995570	medium	pseudohaploid	dstat	1000000	all	10
Afr	admix	Vindija	outgroup	-0.1107	0.006854	-16.145	14344	17913	995412	medium	pseudohaploid	dstat	1000000	all	11
Afr	AMH1	Vindija	outgroup	-0.0051	0.004329	-1.167	14944	15096	995412	medium	pseudohaploid	dstat	1000000	all	11
Afr	admix	Vindija	outgroup	-0.1166	0.006831	-17.067	14290	18061	995637	medium	pseudohaploid	dstat	1000000	all	12
Afr	AMH1	Vindija	outgroup	0.0082	0.004451	1.85	15099	14853	995637	medium	pseudohaploid	dstat	1000000	all	12
Afr	admix	Vindija	outgroup	-0.1115	0.006772	-16.468	14328	17925	995515	medium	pseudohaploid	dstat	1000000	all	13
Afr	AMH1	Vindija	outgroup	-0.0019	0.004771	-0.407	14897	14954	995515	medium	pseudohaploid	dstat	1000000	all	13
Afr	admix	Vindija	outgroup	-0.1147	0.006801	-16.859	14181	17853	995567	medium	pseudohaploid	dstat	1000000	all	14
Afr	AMH1	Vindija	outgroup	0.0062	0.004526	1.374	14927	14742	995567	medium	pseudohaploid	dstat	1000000	all	14
Afr	admix	Vindija	outgroup	-0.1159	0.006695	-17.307	14217	17943	995550	medium	pseudohaploid	dstat	1000000	all	15
Afr	AMH1	Vindija	outgroup	-0.0045	0.00432	-1.038	14868	15002	995550	medium	pseudohaploid	dstat	1000000	all	15
Afr	admix	Vindija	outgroup	-0.114	0.00628	-18.151	14157	17799	995608	medium	pseudohaploid	dstat	1000000	all	16
Afr	AMH1	Vindija	outgroup	-0.0026	0.004565	-0.564	14843	14919	995608	medium	pseudohaploid	dstat	1000000	all	16
Afr	admix	Vindija	outgroup	-0.11	0.006805	-16.169	14311	17849	995483	medium	pseudohaploid	dstat	1000000	all	17
Afr	AMH1	Vindija	outgroup	0.0032	0.004451	0.716	14943	14848	995483	medium	pseudohaploid	dstat	1000000	all	17
Afr	admix	Vindija	outgroup	-0.1154	0.006718	-17.176	14240	17955	995607	medium	pseudohaploid	dstat	1000000	all	18
Afr	AMH1	Vindija	outgroup	-0.0079	0.004692	-1.694	14733	14969	995607	medium	pseudohaploid	dstat	1000000	all	18
Afr	admix	Vindija	outgroup	-0.1155	0.006735	-17.157	14229	17946	995569	medium	pseudohaploid	dstat	1000000	all	19
Afr	AMH1	Vindija	outgroup	-0.0037	0.004436	-0.828	14801	14911	995569	medium	pseudohaploid	dstat	1000000	all	19
Afr	admix	Vindija	outgroup	-0.118	0.00683	-17.275	14237	18045	995651	medium	pseudohaploid	dstat	1000000	all	20
Afr	AMH1	Vindija	outgroup	0.0053	0.004543	1.16	15036	14878	995651	medium	pseudohaploid	dstat	1000000	all	20
Afr	admix	Vindija	outgroup	-0.109	0.006782	-16.065	14260	17746	995530	medium	pseudohaploid	dstat	1000000	all	21
Afr	AMH1	Vindija	outgroup	0.0051	0.004245	1.208	14938	14785	995530	medium	pseudohaploid	dstat	1000000	all	21
Afr	admix	Vindija	outgroup	-0.1069	0.006849	-15.614	14315	17743	995489	medium	pseudohaploid	dstat	1000000	all	22
Afr	AMH1	Vindija	outgroup	0.0031	0.004386	0.716	14944	14850	995489	medium	pseudohaploid	dstat	1000000	all	22
Afr	admix	Vindija	outgroup	-0.1093	0.006823	-16.025	14276	17781	995689	medium	pseudohaploid	dstat	1000000	all	23
Afr	AMH1	Vindija	outgroup	0.0032	0.004376	0.727	14966	14871	995689	medium	pseudohaploid	dstat	1000000	all	23
Afr	admix	Vindija	outgroup	-0.1129	0.006706	-16.834	14252	17879	995594	medium	pseudohaploid	dstat	1000000	all	24
Afr	AMH1	Vindija	outgroup	-0.0034	0.004385	-0.774	14877	14978	995594	medium	pseudohaploid	dstat	1000000	all	24
Afr	admix	Vindija	outgroup	-0.113	0.00674	-16.765	14240	17868	995625	medium	pseudohaploid	dstat	1000000	all	25
Afr	AMH1	Vindija	outgroup	-8e-04	0.004331	-0.191	14926	14951	995625	medium	pseudohaploid	dstat	1000000	all	25
Afr	admix	Vindija	outgroup	-0.1208	0.006673	-18.1	14057	17919	995721	medium	pseudohaploid	dstat	1000000	all	26
Afr	AMH1	Vindija	outgroup	0.0032	0.00439	0.721	14865	14771	995721	medium	pseudohaploid	dstat	1000000	all	26
Afr	admix	Vindija	outgroup	-0.1153	0.006558	-17.577	14206	17907	995577	medium	pseudohaploid	dstat	1000000	all	27
Afr	AMH1	Vindija	outgroup	0	0.004215	0.002	14939	14938	995577	medium	pseudohaploid	dstat	1000000	all	27
Afr	admix	Vindija	outgroup	-0.1204	0.006649	-18.109	14171	18050	995686	medium	pseudohaploid	dstat	1000000	all	28
Afr	AMH1	Vindija	outgroup	0.002	0.004485	0.446	15018	14958	995686	medium	pseudohaploid	dstat	1000000	all	28
Afr	admix	Vindija	outgroup	-0.1167	0.006995	-16.682	14130	17863	995617	medium	pseudohaploid	dstat	1000000	all	29
Afr	AMH1	Vindija	outgroup	-0.0046	0.004456	-1.029	14820	14956	995617	medium	pseudohaploid	dstat	1000000	all	29
Afr	admix	Vindija	outgroup	-0.1146	0.007	-16.377	14207	17885	995516	medium	pseudohaploid	dstat	1000000	all	30
Afr	AMH1	Vindija	outgroup	8e-04	0.004578	0.166	14846	14824	995516	medium	pseudohaploid	dstat	1000000	all	30
Afr	admix	Vindija	outgroup	-0.1114	0.006707	-16.617	14194	17754	995704	medium	pseudohaploid	dstat	1000000	all	31
Afr	AMH1	Vindija	outgroup	0.0035	0.004458	0.788	14929	14824	995704	medium	pseudohaploid	dstat	1000000	all	31
Afr	admix	Vindija	outgroup	-0.1145	0.006853	-16.708	14252	17937	995579	medium	pseudohaploid	dstat	1000000	all	32
Afr	AMH1	Vindija	outgroup	0.0094	0.004555	2.053	15066	14787	995579	medium	pseudohaploid	dstat	1000000	all	32
Afr	admix	Vindija	outgroup	-0.1211	0.006668	-18.166	14216	18134	995657	medium	pseudohaploid	dstat	1000000	all	33
Afr	AMH1	Vindija	outgroup	-0.0036	0.004557	-0.8	14929	15038	995657	medium	pseudohaploid	dstat	1000000	all	33
Afr	admix	Vindija	outgroup	-0.1068	0.006553	-16.298	14322	17747	995616	medium	pseudohaploid	dstat	1000000	all	34
Afr	AMH1	Vindija	outgroup	0.0062	0.004375	1.418	15023	14838	995616	medium	pseudohaploid	dstat	1000000	all	34
Afr	admix	Vindija	outgroup	-0.1113	0.006774	-16.422	14240	17805	995491	medium	pseudohaploid	dstat	1000000	all	35
Afr	AMH1	Vindija	outgroup	0.0013	0.004816	0.269	14884	14845	995491	medium	pseudohaploid	dstat	1000000	all	35
Afr	admix	Vindija	outgroup	-0.1126	0.006905	-16.303	14204	17807	995626	medium	pseudohaploid	dstat	1000000	all	36
Afr	AMH1	Vindija	outgroup	-0.008	0.004453	-1.801	14759	14998	995626	medium	pseudohaploid	dstat	1000000	all	36
Afr	admix	Vindija	outgroup	-0.1167	0.006757	-17.277	14188	17938	995558	medium	pseudohaploid	dstat	1000000	all	37
Afr	AMH1	Vindija	outgroup	0.0033	0.00455	0.735	14964	14864	995558	medium	pseudohaploid	dstat	1000000	all	37
Afr	admix	Vindija	outgroup	-0.1227	0.006987	-17.568	14123	18074	995650	medium	pseudohaploid	dstat	1000000	all	38
Afr	AMH1	Vindija	outgroup	-0.0045	0.004278	-1.062	14837	14972	995650	medium	pseudohaploid	dstat	1000000	all	38
Afr	admix	Vindija	outgroup	-0.1162	0.006459	-17.994	14232	17975	995573	medium	pseudohaploid	dstat	1000000	all	39
Afr	AMH1	Vindija	outgroup	-0.0028	0.004448	-0.621	14888	14971	995573	medium	pseudohaploid	dstat	1000000	all	39
Afr	admix	Vindija	outgroup	-0.1141	0.006594	-17.298	14230	17893	995537	medium	pseudohaploid	dstat	1000000	all	40
Afr	AMH1	Vindija	outgroup	0.005	0.004489	1.122	14991	14841	995537	medium	pseudohaploid	dstat	1000000	all	40
Afr	admix	Vindija	outgroup	-0.1127	0.007052	-15.975	14283	17909	995568	medium	pseudohaploid	dstat	1000000	all	41
Afr	AMH1	Vindija	outgroup	0.0046	0.004529	1.01	14981	14844	995568	medium	pseudohaploid	dstat	1000000	all	41
Afr	admix	Vindija	outgroup	-0.1213	0.006759	-17.948	14081	17969	995541	medium	pseudohaploid	dstat	1000000	all	42
Afr	AMH1	Vindija	outgroup	0.0013	0.004572	0.282	14995	14956	995541	medium	pseudohaploid	dstat	1000000	all	42
Afr	admix	Vindija	outgroup	-0.1166	0.006744	-17.286	14187	17931	995616	medium	pseudohaploid	dstat	1000000	all	43
Afr	AMH1	Vindija	outgroup	-0.0028	0.004711	-0.593	14919	15003	995616	medium	pseudohaploid	dstat	1000000	all	43
Afr	admix	Vindija	outgroup	-0.1111	0.006626	-16.767	14330	17910	995441	medium	pseudohaploid	dstat	1000000	all	44
Afr	AMH1	Vindija	outgroup	5e-04	0.004495	0.12	14947	14931	995441	medium	pseudohaploid	dstat	1000000	all	44
Afr	admix	Vindija	outgroup	-0.1168	0.006975	-16.749	14192	17945	995576	medium	pseudohaploid	dstat	1000000	all	45
Afr	AMH1	Vindija	outgroup	0.0033	0.004452	0.733	14981	14884	995576	medium	pseudohaploid	dstat	1000000	all	45
Afr	admix	Vindija	outgroup	-0.1175	0.006921	-16.975	14220	18006	995637	medium	pseudohaploid	dstat	1000000	all	46
Afr	AMH1	Vindija	outgroup	-7e-04	0.004339	-0.17	14922	14944	995637	medium	pseudohaploid	dstat	1000000	all	46
Afr	admix	Vindija	outgroup	-0.1223	0.006753	-18.118	14103	18034	995702	medium	pseudohaploid	dstat	1000000	all	47
Afr	AMH1	Vindija	outgroup	-0.0019	0.00437	-0.436	14840	14897	995702	medium	pseudohaploid	dstat	1000000	all	47
Afr	admix	Vindija	outgroup	-0.1046	0.006751	-15.495	14295	17635	995555	medium	pseudohaploid	dstat	1000000	all	48
Afr	AMH1	Vindija	outgroup	7e-04	0.004436	0.158	14831	14810	995555	medium	pseudohaploid	dstat	1000000	all	48
Afr	admix	Vindija	outgroup	-0.1139	0.0068	-16.752	14236	17895	995623	medium	pseudohaploid	dstat	1000000	all	49
Afr	AMH1	Vindija	outgroup	-0.0021	0.004486	-0.459	14862	14923	995623	medium	pseudohaploid	dstat	1000000	all	49
Afr	admix	Vindija	outgroup	-0.116	0.006814	-17.031	14079	17775	995681	medium	pseudohaploid	dstat	1000000	all	50
Afr	AMH1	Vindija	outgroup	0.0034	0.004538	0.75	14859	14758	995681	medium	pseudohaploid	dstat	1000000	all	50
Afr	admix	Vindija	outgroup	-0.1181	0.006634	-17.795	14138	17922	995658	medium	pseudohaploid	dstat	1000000	all	51
Afr	AMH1	Vindija	outgroup	-0.0011	0.004531	-0.246	14851	14884	995658	medium	pseudohaploid	dstat	1000000	all	51
Afr	admix	Vindija	outgroup	-0.1197	0.006767	-17.682	14089	17918	995567	medium	pseudohaploid	dstat	1000000	all	52
Afr	AMH1	Vindija	outgroup	-0.0083	0.004371	-1.906	14746	14994	995567	medium	pseudohaploid	dstat	1000000	all	52
Afr	admix	Vindija	outgroup	-0.1068	0.006536	-16.343	14290	17708	995571	medium	pseudohaploid	dstat	1000000	all	53
Afr	AMH1	Vindija	outgroup	-0.0041	0.004371	-0.936	14817	14939	995571	medium	pseudohaploid	dstat	1000000	all	53
Afr	admix	Vindija	outgroup	-0.1156	0.006861	-16.854	14147	17846	995637	medium	pseudohaploid	dstat	1000000	all	54
Afr	AMH1	Vindija	outgroup	-0.0019	0.00435	-0.439	14862	14919	995637	medium	pseudohaploid	dstat	1000000	all	54
Afr	admix	Vindija	outgroup	-0.1184	0.006929	-17.087	14144	17943	995444	medium	pseudohaploid	dstat	1000000	all	55
Afr	AMH1	Vindija	outgroup	-0.0072	0.004372	-1.635	14773	14986	995444	medium	pseudohaploid	dstat	1000000	all	55
Afr	admix	Vindija	outgroup	-0.1092	0.006597	-16.547	14261	17756	995508	medium	pseudohaploid	dstat	1000000	all	56
Afr	AMH1	Vindija	outgroup	7e-04	0.004577	0.163	14912	14890	995508	medium	pseudohaploid	dstat	1000000	all	56
Afr	admix	Vindija	outgroup	-0.1129	0.006646	-16.992	14268	17900	995623	medium	pseudohaploid	dstat	1000000	all	57
Afr	AMH1	Vindija	outgroup	0.0087	0.004654	1.861	15140	14880	995623	medium	pseudohaploid	dstat	1000000	all	57
Afr	admix	Vindija	outgroup	-0.1149	0.006761	-16.988	14222	17913	995553	medium	pseudohaploid	dstat	1000000	all	58
Afr	AMH1	Vindija	outgroup	-9e-04	0.004505	-0.192	14928	14954	995553	medium	pseudohaploid	dstat	1000000	all	58
Afr	admix	Vindija	outgroup	-0.1219	0.006827	-17.861	14118	18039	995533	medium	pseudohaploid	dstat	1000000	all	59
Afr	AMH1	Vindija	outgroup	-5e-04	0.004503	-0.121	14875	14891	995533	medium	pseudohaploid	dstat	1000000	all	59
Afr	admix	Vindija	outgroup	-0.1148	0.006643	-17.277	14281	17984	995492	medium	pseudohaploid	dstat	1000000	all	60
Afr	AMH1	Vindija	outgroup	-0.0074	0.004376	-1.68	14824	15043	995492	medium	pseudohaploid	dstat	1000000	all	60
Afr	admix	Vindija	outgroup	-0.1129	0.006591	-17.136	14266	17898	995559	medium	pseudohaploid	dstat	1000000	all	61
Afr	AMH1	Vindija	outgroup	0.0028	0.004394	0.64	14970	14886	995559	medium	pseudohaploid	dstat	1000000	all	61
Afr	admix	Vindija	outgroup	-0.1151	0.006639	-17.342	14133	17810	995538	medium	pseudohaploid	dstat	1000000	all	62
Afr	AMH1	Vindija	outgroup	-0.011	0.004443	-2.482	14700	15028	995538	medium	pseudohaploid	dstat	1000000	all	62
Afr	admix	Vindija	outgroup	-0.1125	0.006548	-17.184	14251	17863	995537	medium	pseudohaploid	dstat	1000000	all	63
Afr	AMH1	Vindija	outgroup	9e-04	0.004603	0.188	14932	14906	995537	medium	pseudohaploid	dstat	1000000	all	63
Afr	admix	Vindija	outgroup	-0.1122	0.006606	-16.979	14325	17944	995604	medium	pseudohaploid	dstat	1000000	all	64
Afr	AMH1	Vindija	outgroup	1e-04	0.004494	0.016	14961	14958	995604	medium	pseudohaploid	dstat	1000000	all	64
Afr	admix	Vindija	outgroup	-0.1186	0.006549	-18.11	14035	17811	995589	medium	pseudohaploid	dstat	1000000	all	65
Afr	AMH1	Vindija	outgroup	-0.0054	0.004377	-1.238	14701	14861	995589	medium	pseudohaploid	dstat	1000000	all	65
Afr	admix	Vindija	outgroup	-0.1163	0.00709	-16.401	14268	18021	995683	medium	pseudohaploid	dstat	1000000	all	66
Afr	AMH1	Vindija	outgroup	-0.0055	0.004465	-1.24	14871	15037	995683	medium	pseudohaploid	dstat	1000000	all	66
Afr	admix	Vindija	outgroup	-0.1136	0.006768	-16.783	14180	17813	995666	medium	pseudohaploid	dstat	1000000	all	67
Afr	AMH1	Vindija	outgroup	-0.0023	0.004215	-0.546	14875	14944	995666	medium	pseudohaploid	dstat	1000000	all	67
Afr	admix	Vindija	outgroup	-0.1142	0.006388	-17.879	14211	17875	995656	medium	pseudohaploid	dstat	1000000	all	68
Afr	AMH1	Vindija	outgroup	0.0029	0.004484	0.638	14980	14895	995656	medium	pseudohaploid	dstat	1000000	all	68
Afr	admix	Vindija	outgroup	-0.108	0.006703	-16.108	14341	17812	995657	medium	pseudohaploid	dstat	1000000	all	69
Afr	AMH1	Vindija	outgroup	0.0042	0.004436	0.936	15006	14882	995657	medium	pseudohaploid	dstat	1000000	all	69
Afr	admix	Vindija	outgroup	-0.1128	0.006716	-16.791	14222	17837	995523	medium	pseudohaploid	dstat	1000000	all	70
Afr	AMH1	Vindija	outgroup	0.0016	0.004326	0.361	14889	14843	995523	medium	pseudohaploid	dstat	1000000	all	70
Afr	admix	Vindija	outgroup	-0.1123	0.006857	-16.384	14305	17925	995602	medium	pseudohaploid	dstat	1000000	all	71
Afr	AMH1	Vindija	outgroup	0.0014	0.004394	0.31	14909	14869	995602	medium	pseudohaploid	dstat	1000000	all	71
Afr	admix	Vindija	outgroup	-0.1078	0.006992	-15.418	14281	17731	995689	medium	pseudohaploid	dstat	1000000	all	72
Afr	AMH1	Vindija	outgroup	0.0048	0.004626	1.041	14894	14751	995689	medium	pseudohaploid	dstat	1000000	all	72
Afr	admix	Vindija	outgroup	-0.1158	0.007131	-16.246	14198	17917	995587	medium	pseudohaploid	dstat	1000000	all	73
Afr	AMH1	Vindija	outgroup	-0.0056	0.004516	-1.249	14846	15015	995587	medium	pseudohaploid	dstat	1000000	all	73
Afr	admix	Vindija	outgroup	-0.1186	0.006613	-17.942	14196	18017	995666	medium	pseudohaploid	dstat	1000000	all	74
Afr	AMH1	Vindija	outgroup	0.0073	0.004375	1.662	15055	14837	995666	medium	pseudohaploid	dstat	1000000	all	74
Afr	admix	Vindija	outgroup	-0.1143	0.006691	-17.075	14265	17944	995527	medium	pseudohaploid	dstat	1000000	all	75
Afr	AMH1	Vindija	outgroup	-1e-04	0.004361	-0.019	14866	14868	995527	medium	pseudohaploid	dstat	1000000	all	75
Afr	admix	Vindija	outgroup	-0.1153	0.006665	-17.293	14236	17945	995576	medium	pseudohaploid	dstat	1000000	all	76
Afr	AMH1	Vindija	outgroup	0.0032	0.004299	0.738	15003	14908	995576	medium	pseudohaploid	dstat	1000000	all	76
Afr	admix	Vindija	outgroup	-0.119	0.006861	-17.349	14245	18094	995589	medium	pseudohaploid	dstat	1000000	all	77
Afr	AMH1	Vindija	outgroup	8e-04	0.004286	0.198	14999	14973	995589	medium	pseudohaploid	dstat	1000000	all	77
Afr	admix	Vindija	outgroup	-0.1122	0.006627	-16.932	14223	17818	995541	medium	pseudohaploid	dstat	1000000	all	78
Afr	AMH1	Vindija	outgroup	-0.0076	0.004502	-1.697	14723	14949	995541	medium	pseudohaploid	dstat	1000000	all	78
